"","CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside.Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location.1","Premise","Total.Incidents"
"365","08/30/2017","15:20:00","4F","3600 FALLS RD","ASSAULT BY THREAT","I","",531,"NORTHERN","Hampden",-76.63517,39.3316,"(39.3316000000, -76.6351700000)","OFFICE BUI",1
"366","08/30/2017","14:04:00","9S","1100 NANTICOKE ST","SHOOTING","Outside","FIREARM",932,"SOUTHERN","Washington Village/Pigtow",-76.63084,39.28088,"(39.2808800000, -76.6308400000)","Street",1
"367","08/30/2017","14:34:00","6C","3500 BOSTON ST","LARCENY","I","",233,"SOUTHEASTERN","Canton Industrial Area",-76.56732,39.27703,"(39.2770300000, -76.5673200000)","CLOTHING/S",1
"368","08/30/2017","14:30:00","4E","200 DOUGLAS CT","COMMON ASSAULT","I","HANDS",212,"SOUTHEASTERN","Dunbar-Broadway",-76.597,39.29368,"(39.2936800000, -76.5970000000)","ROW/TOWNHO",1
"369","08/30/2017","14:04:00","4A","2000 W BALTIMORE ST","AGG. ASSAULT","","FIREARM",714,"WESTERN","Penrose/Fayette Street Ou",-76.64888,39.2881,"(39.2881000000, -76.6488800000)","",1
"370","08/30/2017","14:00:00","5A","2000 E FAIRMOUNT AVE","BURGLARY","","",212,"SOUTHEASTERN","Butcher's Hill",-76.58905,39.2928,"(39.2928000000, -76.5890500000)","",1
"371","08/30/2017","13:57:00","1F","700 KEVIN RD","HOMICIDE","Outside","FIREARM",822,"SOUTHWESTERN","Rognel Heights",-76.68665,39.29619,"(39.2961900000, -76.6866500000)","Street",1
"372","08/30/2017","13:00:00","6D","700 MCCULLOH ST","LARCENY FROM AUTO","O","",143,"CENTRAL","Seton Hill",-76.62246,39.29803,"(39.2980300000, -76.6224600000)","STREET",1
"373","08/30/2017","13:00:00","4E","900 N CALHOUN ST","COMMON ASSAULT","O","HANDS",743,"WESTERN","Sandtown-Winchester",-76.64017,39.29905,"(39.2990500000, -76.6401700000)","STREET",1
"374","08/30/2017","12:30:00","4E","800 W 35TH ST","COMMON ASSAULT","I","HANDS",531,"NORTHERN","Hampden",-76.63029,39.32992,"(39.3299200000, -76.6302900000)","ROW/TOWNHO",1
"375","08/30/2017","12:30:00","3AJF","2200 W Cold Spring Ln","ROBBERY - CARJACKING","O","FIREARM",533,"NORTHERN","Coldspring",-76.6523,39.34362,"(39.3436200000, -76.6523000000)","STREET",1
"376","08/30/2017","12:28:00","4E","1100 WARD ST","COMMON ASSAULT","O","HANDS",932,"SOUTHERN","Washington Village/Pigtow",-76.63262,39.282,"(39.2820000000, -76.6326200000)","STREET",1
"377","08/30/2017","12:00:00","6J","4100 POTTER ST","LARCENY","I","",833,"SOUTHWESTERN","Irvington",-76.68385,39.27815,"(39.2781500000, -76.6838500000)","APT/CONDO",1
"378","08/30/2017","12:00:00","4C","2000 W PRATT ST","AGG. ASSAULT","I","OTHER",934,"SOUTHERN","Carrollton Ridge",-76.64905,39.28503,"(39.2850300000, -76.6490500000)","ROW/TOWNHO",1
"379","08/30/2017","11:35:00","4E","500 CUMBERLAND ST","COMMON ASSAULT","O","HANDS",131,"CENTRAL","Druid Heights",-76.64098,39.30974,"(39.3097400000, -76.6409800000)","STREET",1
"380","08/30/2017","10:45:00","4F","4300 WAKEFIELD RD","ASSAULT BY THREAT","","",641,"NORTHWESTERN","West Forest Park",-76.68969,39.3217,"(39.3217000000, -76.6896900000)","",1
"381","08/30/2017","10:00:00","5A","2100 W SARATOGA ST","BURGLARY","I","",714,"WESTERN","Penrose/Fayette Street Ou",-76.65085,39.29184,"(39.2918400000, -76.6508500000)","ROW/TOWNHO",1
"382","08/30/2017","10:00:00","5A","2900 MATHEWS ST","BURGLARY","","",513,"NORTHERN","Better Waverly",-76.60737,39.32348,"(39.3234800000, -76.6073700000)","",1
"383","08/30/2017","09:30:00","6D","1700 EUTAW PL","LARCENY FROM AUTO","O","",132,"CENTRAL","Madison Park",-76.63034,39.30716,"(39.3071600000, -76.6303400000)","STREET",1
"384","08/30/2017","09:28:00","4E","2100 PARKSLEY AVE","COMMON ASSAULT","I","HANDS",831,"SOUTHWESTERN","Morrell Park",-76.65028,39.26369,"(39.2636900000, -76.6502800000)","ROW/TOWNHO",1
"385","08/30/2017","09:10:00","6J","HIGHLAND AV & E BALTIMORE ST","LARCENY","O","",222,"SOUTHEASTERN","Baltimore Highlands",-76.56941,39.29248,"(39.2924800000, -76.5694100000)","BUS/AUTO",1
"386","08/30/2017","09:00:00","4E","4300 ROBERTON AVE","COMMON ASSAULT","I","HANDS",442,"NORTHEASTERN","Parkside",-76.55577,39.32494,"(39.3249400000, -76.5557700000)","ROW/TOWNHO",1
"387","08/30/2017","09:00:00","6D","400 WINSTON AVE","LARCENY FROM AUTO","O","",521,"NORTHERN","Radnor-Winston",-76.61187,39.34998,"(39.3499800000, -76.6118700000)","PARKING LO",1
"388","08/30/2017","09:00:00","6D","100 N WOLFE ST","LARCENY FROM AUTO","","",212,"SOUTHEASTERN","Washington Hill",-76.59058,39.29286,"(39.2928600000, -76.5905800000)","",1
"389","08/30/2017","08:45:00","6E","2300 EVERGREEN ST","LARCENY","O","",731,"WESTERN","Panway/Braddish Avenue",-76.66052,39.31363,"(39.3136300000, -76.6605200000)","PARKING LO",1
"390","08/30/2017","08:30:00","5A","3800 HILLSDALE RD","BURGLARY","I","",622,"NORTHWESTERN","Howard Park",-76.69211,39.33523,"(39.3352300000, -76.6921100000)","ROW/TOWNHO",1
